Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;RS;OSORIO;W MOREIRA DA SILVA & CIA LTDA ME; 08.146.083/0001-33;RUA 7 DE SETEMBRO;1084;;GLORIA;95520-000;GLP;04/12/2023;95;;R$ / 13 kg;BRANCA
N;PA;BELEM;ALLAN P.A. DE MORAIS - ME.; 07.747.497/0001-55;PASSAGEM IVAN LEÃO;45;CJ. A. MONTEN.;ICOARACI;66813-360;GLP;04/12/2023;89,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;SC;ITAJAI;BR COMERCIO DE GAS LTDA; 08.221.180/0001-43;RUA REINALDO SCHMITHAUSEN;3101;;CORDEIROS;88311-480;GLP;04/12/2023;105;;R$ / 13 kg;BRANCA
SE;MG;UBERLANDIA;KI-GAS COMERCIO LTDA; 07.113.136/0001-57;RUA MARIA DAS DORES DIAS;250;;SANTA MONICA;38408-206;GLP;05/12/2023;115;;R$ / 13 kg;ULTRAGAZ
SE;SP;SOROCABA;REGIANE APARECIDA MARIANO SANTANA GLP - ME; 06.788.628/0001-80;AVENIDA DOUTOR AMERICO FIGUEIREDO;576;;JARDIM SIMUS;18055-131;GLP;05/12/2023;93,99;;R$ / 13 kg;BRANCA
SE;SP;CRUZEIRO;JORDINO ANTONIO DINIZ NETO; 06.253.230/0001-49;RUA JOÃO CLAUDIO GOSLING;34;;VILA MEIRELLES;12705-110;GLP;06/12/2023;79,99;;R$ / 13 kg;BRANCA
SE;SP;PORTO FERREIRA;LUIS PAULO SIMIONATO; 06.134.388/0001-08;RUA DOUTOR ERLINDO SALZANO;57;;JARDIM PRIMAVERA;13660-082;GLP;07/12/2023;95;;R$ / 13 kg;LIQUIGÁS
SE;SP;PAULINIA;EMERSON A BANCHIERI; 74.249.632/0001-20;AVENIDA ANTONIO BATISTA PIVA;53;;REC. SANTA CATARINA;13140-031;GLP;04/12/2023;100;;R$ / 13 kg;ULTRAGAZ
SE;SP;PINDAMONHANGABA;MARIKO ROBERTA TASHIKAWA DA SILVA; 06.244.625/0001-85;RUA CONEGO TOBIAS;367;;TABAU;12403-030;GLP;06/12/2023;100;;R$ / 13 kg;LIQUIGÁS
SE;SP;TAUBATE;ELINES DE OLIVEIRA MENDONCA DOS SANTOS; 07.738.419/0001-94;ESTRADA MUNICIPAL DO BARREIRO;2085;;SAO GONCALO;12092-000;GLP;07/12/2023;79,99;;R$ / 13 kg;BRANCA
S;RS;CACHOEIRA DO SUL;MÔNICA DOS SANTOS FLORES - ME; 08.201.168/0001-77;ESTRADA VOLTA DA CHARQUEADA;3264;SALA 01;MARINA;96505-830;GLP;04/12/2023;95;;R$ / 13 kg;ULTRAGAZ
SE;MG;BELO HORIZONTE;CAICARA GAS LTDA; 04.295.596/0001-55;RUA BELMIRO BRAGA;151;;CAICARA;30770-550;GLP;04/12/2023;119;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;MAUA;GRAZIGABI COMÉRCIO DE GÁS LTDA.; 05.208.907/0001-64;AVENIDA PRESIDENTE CASTELO BRANCO;1364;;JARDIM ZAIRA;09321-370;GLP;06/12/2023;109,99;;R$ / 13 kg;ULTRAGAZ
S;RS;GRAVATAI;IDEL DIAS PIRES; 02.602.460/0001-15;AVENIDA JOSE LOUREIRO DA SILVA;2535;;SANTA LUZIA;94010-000;GLP;05/12/2023;108;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;TAUBATE;ANGELICA APARECIDA WARLEI FERRAZ; 07.829.848/0001-77;AVENIDA MONS ANTONIO DO NASCIMENTO CASTRO;543;;VILA SAO JOSE;12070-350;GLP;06/12/2023;95;;R$ / 13 kg;BRANCA
S;RS;ALVORADA;SANTA GEROCI COELHO MARCELO; 94.406.337/0001-47;RUA DUQUE DE CAXIAS;729;;VILA MARINGÁ;94814-160;GLP;05/12/2023;93;;R$ / 13 kg;BRANCA
SE;SP;RIBEIRAO PRETO;LUIZ CARLOS FABRI - ME.; 64.754.518/0001-01;AVENIDA PIO XII;679;;VILA VIRGÍNIA;14030-250;GLP;04/12/2023;104,99;;R$ / 13 kg;ULTRAGAZ
N;PA;BRAGANCA;SALGAS COMÉRCIO DE GÁS LTDA.; 04.753.840/0001-86;AVENIDA NAZEAZENO FERREIRA;2615;ESQUINA COM TRAVESSA B;PADRE LUIZ;68600-000;GLP;04/12/2023;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO JOSE DO RIO PRETO;MARCO ANTONIO MAGALHÃES - GÁS; 06.056.914/0001-50;AVENIDA BRASILUSA;1094;;PARQUE ESTORIL;15085-020;GLP;05/12/2023;120;;R$ / 13 kg;ULTRAGAZ
SE;SP;ITAPOLIS;GONÇALEZ E& BARSOTI LTDA - ME; 00.260.088/0001-80;RUA JOSÉ ROSSI;536;;CENTRO;14900-000;GLP;04/12/2023;115;;R$ / 13 kg;LIQUIGÁS
